tmdb_id,imdb_id,title,release_year,release_date,budget_raw,gross_raw,budget_2025,gross_2025,cpi_gross_year,cpi_budget_year,roi,log_roi,runtime_min,genres,certification,original_language,popularity,vote_average,vote_count,production_cos,tagline,overview,poster_file,script_file,roi_2025,log_roi_2025
10193.0,tt0435761,Toy Story 3,2010.0,2010-06-16,200000000.0,1067316101.0,298181818.18,1565005452.09,218.1,214.5,4.336580505,1.6745850929884416,102.0,Animation|Family|Comedy,G,en,14.0824,7.8,15659.0,Pixar,No toy gets left behind.,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/10193.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/ToyStory3.txt,4.248493894236271,1.657941158158042
423899.0,tt5816682,Victoria & Abdul,2017.0,2017-09-13,22000000.0,66558465.0,29315000.0,86843725.45,245.1,240.0,2.0253847727272727,1.107038280989669,112.0,Drama|History,PG-13,en,1.3696,6.898,1195.0,Working Title Films|BBC Film|Perfect World Pictures|Cross Street Films|Focus Features|India Take One,History's most unlikely friendship.,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,/content/gdrive/Shareddrives/FML_FINAL/Data/posters/423899.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/VictoriaAndAbdul.txt,1.9624330701006312,1.0860109138349432
177494.0,tt2771372,Veronica Mars,2014.0,2014-03-13,6000000.0,3500000.0,8235193.13,4728770.6,236.7,233.0,-0.4166666666666667,-0.538996500732687,107.0,Crime|Drama|Comedy,PG-13,en,2.1702,6.622,1145.0,Warner Bros. Digital|Spondoolie Productions,She thought she was out.,"Years after walking away from her past as a teenage private eye, Veronica Mars gets pulled back to her hometown - just in time for her high school reunion - in order to help her old flame Logan Echolls, who's embroiled in a murder mystery.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/177494.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/VeronicaMarsMovie.txt,-0.4257850999542982,-0.554751562405618
43552.0,tt1452628,Vanishing on 7th Street,2010.0,2010-09-11,10000000.0,1671196.0,14909090.91,2450474.46,218.1,214.5,-0.8328804,-1.7890455552263989,92.0,Mystery|Horror|Thriller,R,en,1.3546,5.32,610.0,Herrick Entertainment|Circle of Confusion|Forest Park Pictures|Mandalay Vision,Stay in the light.,"A mysterious global blackout yields countless populations to simply vanish, leaving only their clothes and possessions behind. A small handful of survivors band together in a dimly-lit tavern on 7th Street, struggling to combat the apocalyptic horror. Realizing they may in fact be the last people on earth, a dark shadow hones in on them alone.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/43552.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/VanishingOn7thStreet.txt,-0.8356389081807537,-1.8056894921364344
1858.0,tt0418279,Transformers,2007.0,2007-06-27,150000000.0,709709780.0,237946428.57,1094863423.27,207.3,201.6,3.7313985333333335,1.554220831810353,144.0,Adventure|Science Fiction|Action,PG-13,en,3.4983,6.8,12142.0,DreamWorks Pictures|di Bonaventura Pictures|DeSanto/Murphy Productions|Paramount Pictures,Their war. Our world.,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,/content/gdrive/Shareddrives/FML_FINAL/Data/posters/1858.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/Transformers2007.txt,3.601302191631378,1.5263393485712682
335787.0,tt1464335,Uncharted,2022.0,2022-02-10,120000000.0,407141258.0,141661129.57,444836946.73,292.7,270.9,2.392843816666667,1.221668453698325,116.0,Action|Adventure,PG-13,en,11.2439,6.865,6745.0,Columbia Pictures|Atlas Entertainment|PlayStation Productions|Arad Productions,Fortune favors the bold.,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/335787.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/UnchartedDrakesFortune.txt,2.1401482402424983,1.1442700090741038
33909.0,tt1027718,Wall Street: Money Never Sleeps,2010.0,2010-09-20,70000000.0,134748021.0,104363636.36,197581004.66,218.1,214.5,0.9249717285714286,0.6549112811754998,133.0,Drama|Crime,PG-13,en,3.5795,6.101,1681.0,Pressman Film|Dune Entertainment III|Dune Entertainment|20th Century Fox,Gordon never gives up.,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/33909.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WallStreet2MoneyNeverSleeps.txt,0.8931977799091706,0.6382673463835017
20526.0,tt1104001,TRON: Legacy,2010.0,2010-12-14,170000000.0,409912892.0,253454545.45,601055217.16,218.1,214.5,1.411252305882353,0.8801462415389942,126.0,Adventure|Action|Science Fiction,PG,en,8.7825,6.5,7887.0,Walt Disney Pictures|Sean Bailey Productions,The game has changed.,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/20526.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/Tron20.txt,1.3714517176752412,0.8635023067250144
76494.0,tt1586265,What to Expect When You're Expecting,2012.0,2012-05-17,40000000.0,79700000.0,56878612.72,111010714.29,229.6,224.9,0.9925,0.6893901316822331,110.0,Romance|Comedy|Drama,PG-13,en,2.1852,6.0,1847.0,Lionsgate|Alcon Entertainment|Phoenix Pictures|What to Expect Productions,It's too late to pull out now.,"Challenges of impending parenthood turn the lives of five couples upside down. Two celebrities are unprepared for the surprise demands of pregnancy; hormones wreak havoc on a baby-crazy author, while her husband tries not to be outdone by his father, who's expecting twins with his young trophy wife; a photographer's husband isn't sure about his wife's adoption plans; a one-time hook-up results in a surprise pregnancy for rival food-truck owners.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/76494.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WhatToExpectWhenYoureExpecting.txt,0.9517127612883172,0.6687073261837875
39013.0,tt1399683,Winter's Bone,2010.0,2010-06-11,2000000.0,13831503.0,2981818.18,20281130.95,218.1,214.5,5.9157515,1.933801636001415,101.0,Drama|Mystery,R,en,3.5263,6.784,1981.0,Anonymous Content|Winter's Bone Productions,Talking just causes witnesses.,"After discovering her father put their house up for his bail bond and then disappeared, 17-year-old Ree Dolly must confront the local criminal underworld and the harsh Ozark wilderness in order to to track down her father and save her family.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/39013.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WintersBone.txt,5.801598798354633,1.9171577019513888
